n,k_frac,k,my_time,python_time
100,0.01,1,13829048,9047
100,0.01,1,11650138,33473
100,0.01,1,10365947,22913
100,0.01,1,10128519,20799
100,0.01,1,10358302,22572
100,0.01,1,11501838,24716
100,0.01,1,9645650,25057
100,0.01,1,10328502,21330
100,0.01,1,10255867,26089
100,0.01,1,10139784,23123
100,0.01,1,10698947,27521
100,0.01,1,10964908,25377
100,0.01,1,10351427,26660
100,0.01,1,9184805,21099
100,0.01,1,10410648,25698
100,0.01,1,10241873,24976
100,0.01,1,10406070,25388
100,0.01,1,10312235,23924
100,0.01,1,8982244,25247
100,0.01,1,10877834,25237
1000,0.01,10,12657442,107111
1000,0.01,10,11344319,179266
1000,0.01,10,10388815,192971
1000,0.01,10,11116582,206697
1000,0.01,10,10610432,191809
1000,0.01,10,10926224,194584
1000,0.01,10,11466997,183814
1000,0.01,10,11856024,208239
1000,0.01,10,12309846,187872
1000,0.01,10,10183964,181951
1000,0.01,10,10415188,185487
1000,0.01,10,11004658,195275
1000,0.01,10,10854040,171190
1000,0.01,10,10623066,195446
1000,0.01,10,12006007,290203
1000,0.01,10,11854740,209302
1000,0.01,10,11173679,200596
1000,0.01,10,10583983,209933
1000,0.01,10,11962793,208360
1000,0.01,10,11527932,240230
10000,0.01,100,40191847,1506199
10000,0.01,100,19872221,2552288
10000,0.01,100,21777948,3125621
10000,0.01,100,20744624,2866457
10000,0.01,100,21756535,3014604
10000,0.01,100,91132870,3236449
10000,0.01,100,19053336,2734759
10000,0.01,100,22827173,3113469
10000,0.01,100,20103795,2922541
10000,0.01,100,21600305,3112406
10000,0.01,100,22710334,3155577
10000,0.01,100,21121510,2960401
10000,0.01,100,21019287,3231181
10000,0.01,100,20262542,2898526
10000,0.01,100,86352050,3718600
10000,0.01,100,20581238,2875553
10000,0.01,100,21620494,3624826
10000,0.01,100,21577050,3528385
10000,0.01,100,20004349,2808507
10000,0.01,100,21610655,2957767
100000,0.01,1000,129268870,28447003
100000,0.01,1000,317033573,45508022
100000,0.01,1000,130916273,43825511
100000,0.01,1000,329121972,42693392
100000,0.01,1000,140554216,45415318
100000,0.01,1000,367843159,46717503
100000,0.01,1000,148428186,49137456
100000,0.01,1000,363150806,48032404
100000,0.01,1000,142930947,50501327
100000,0.01,1000,360935929,47031634
100000,0.01,1000,146887324,50780981
100000,0.01,1000,355419803,49289258
100000,0.01,1000,140759170,48210389
100000,0.01,1000,362387496,50611235
100000,0.01,1000,146750747,51055904
100000,0.01,1000,363240703,51381196
100000,0.01,1000,145138528,48918485
100000,0.01,1000,354824033,54390720
100000,0.01,1000,144167138,53502445
100000,0.01,1000,379023499,51063569
1000000,0.01,10000,1523849066,526457243
1000000,0.01,10000,1403971997,735105368
1000000,0.01,10000,1555770843,741472405
1000000,0.01,10000,1402579147,740827268
1000000,0.01,10000,1600565276,755739025
1000000,0.01,10000,1458927282,748227231
1000000,0.01,10000,1607265747,755212776
1000000,0.01,10000,1446347782,754271065
1000000,0.01,10000,1616079328,765516307
1000000,0.01,10000,1479351986,780491671
1000000,0.01,10000,1672713984,768639245
1000000,0.01,10000,1511320994,780191996
1000000,0.01,10000,1640631222,791505141
1000000,0.01,10000,1513976757,808621910
1000000,0.01,10000,1647218777,779412630
1000000,0.01,10000,1476060933,773752701
1000000,0.01,10000,1685436222,787913148
1000000,0.01,10000,1542610345,782777075
1000000,0.01,10000,1733419264,878240465
1000000,0.01,10000,1549512951,802396868
